Term,Course,Instructor,Section,Enrollment,Average,A,B,C,D,F,S,U,V,I,W,IJ,hc_A,hc_B,hc_C,hc_D,hc_F,hc_S,hc_U,hc_V,hc_I,hc_W,hc_IJ
201708,ACCT 2101,Jeffrey Hales,D,65,3.35,44.6,41.5,7.7,1.5,0.0,1.5,0.0,0.0,0.0,3.1,0.0,29.0,27.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
201708,ACCT 2101,Jeffrey Hales,E,65,3.27,47.7,30.8,12.3,4.6,0.0,1.5,0.0,0.0,0.0,3.1,0.0,31.0,20.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
201708,ACCT 2101,Katarzyna Rupar,A,62,3.33,41.9,33.9,12.9,0.0,0.0,6.5,0.0,0.0,0.0,4.8,0.0,26.0,21.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
201708,ACCT 2101,Katarzyna Rupar,B,65,3.10,36.9,33.8,12.3,7.7,0.0,1.5,0.0,0.0,0.0,7.7,0.0,24.0,22.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0
201708,ACCT 2101,Katarzyna Rupar,C,64,3.18,37.5,34.4,12.5,4.7,0.0,0.0,0.0,0.0,0.0,10.9,0.0,24.0,22.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
201708,ACCT 2102,Eric Condie,A,60,3.00,36.7,31.7,13.3,11.7,0.0,0.0,0.0,0.0,0.0,6.7,0.0,22.0,19.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
201708,ACCT 2102,Eric Condie,B,69,3.00,39.1,30.4,14.5,10.1,1.4,0.0,0.0,0.0,0.0,4.3,0.0,27.0,21.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
201708,ACCT 2102,Eric Condie,C,19,2.78,21.1,42.1,21.1,10.5,0.0,0.0,0.0,0.0,0.0,5.3,0.0,4.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
201708,AE 1355,Dimitrios Mavris,MAV,14,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201708,AE 1601,Narayanan Komerath,A,45,3.95,86.7,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
201708,AE 1601,Edgar Lightsey,C,44,3.95,93.2,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
201708,AE 1601,Stephen Ruffin,B,45,3.82,82.2,13.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,37.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
201708,AE 2010,Krishan Ahuja,B,70,2.91,27.1,37.1,21.4,7.1,0.0,0.0,0.0,0.0,0.0,7.1,0.0,19.0,26.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
201708,AE 2010,Wenting Sun,A,60,2.25,11.7,26.7,30.0,11.7,8.3,0.0,0.0,0.0,0.0,11.7,0.0,7.0,16.0,18.0,7.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0
