Term,Course,Instructor,Section,Enrollment,Average,A,B,C,D,F,S,U,V,I,W,IJ,hc_A,hc_B,hc_C,hc_D,hc_F,hc_S,hc_U,hc_V,hc_I,hc_W,hc_IJ
201905,ACCT 2101,Arnold Schneider,ES,17,2.13,17.6,17.6,35.3,5.9,17.6,0.0,0.0,0.0,0.0,5.9,0.0,3.0,3.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
201905,ACCT 2102,Ryan Blunck,LS,30,3.11,36.7,33.3,16.7,0.0,3.3,0.0,0.0,0.0,0.0,10.0,0.0,11.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0
201905,AE 2010,Jechiel Jagoda,A,27,2.84,40.7,11.1,29.6,7.4,3.7,0.0,0.0,0.0,0.0,7.4,0.0,11.0,3.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
201905,AE 2010,Turab Zaidi,R,8,3.38,37.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 2011,Turab Zaidi,R,1,2.00,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 2220,Seyed Mohammad Hanif Sadat Hoseini Khajuee,A,27,2.83,29.6,18.5,33.3,0.0,3.7,0.0,0.0,0.0,0.0,14.8,0.0,8.0,5.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
201905,AE 2220,Turab Zaidi,R,12,3.58,58.3,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 2698,Narayanan Komerath,KOM,2,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
201905,AE 2699,Tim Lieuwen,LIE,1,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 2699,Edgar Lightsey,LIG,1,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 2699,Dimitrios Mavris,MAV,3,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 2699,Suresh Menon,MEN,3,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 2801,Jason Wang,R,32,3.84,87.5,9.4,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 3030,Narayanamoorthy Sankar,RLI,34,3.65,76.5,11.8,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 3140,Claudio Di Leo,A,44,2.95,38.6,29.5,2.3,13.6,4.5,0.0,0.0,0.0,0.0,11.4,0.0,17.0,13.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0
201905,AE 3330,Elena Garcia,RLI,15,3.73,73.3,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 3340,Kyle Collins,RLI,36,3.67,69.4,27.8,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 3340,Michael Steffens,A,40,3.49,55.0,37.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,22.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
201905,AE 3530,J Prasad,RLI,31,3.39,61.3,16.1,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 3531,Chance McColl,RLI,38,3.61,71.1,18.4,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 3531,Seyed Mohammad Hanif Sadat Hoseini Khajuee,A,39,3.14,38.5,33.3,15.4,5.1,0.0,0.0,0.0,0.0,0.0,7.7,0.0,15.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
201905,AE 4071,J Prasad,RLI,6,3.67,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 4343,Daniel Schrage,RLI,9,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201905,AE 4698,Narayanan Komerath,KOM,1,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
201905,AE 4698,Joseph Oefelein,OEF,1,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
201905,AE 4698,Julian Rimoli,RIM,1,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
201905,AE 4698,Jerry Seitzman,SEI,1,Null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
201905,AE 4699,Brian Gunter,GUN,1,4.00,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
